Method,LLM,Average Input Tokens,Average Output Tokens,Average Number of Calls
OneShot,Claude-4,308,194.1,1
OneShot,Gemini-2,328,266.3,1
OneShot,Gemini-3,328,470,1
OneShot,GPT-4o,306,270.8,1
OneShot,GPT-5.2,306,491.7,1
OneShot,Grok-3,323,315.3,1
OneShot,o4-mini,306,463.1,1
OneShot,Average,315.0,353.0,1.0

OneShot+Res,Claude-4,3205,189.9,1
OneShot+Res,Gemini-2,3239,305.2,1
OneShot+Res,Gemini-3,3239,519.2,1
OneShot+Res,GPT-4o,3160,291.7,1
OneShot+Res,GPT-5.2,3160,586.9,1
OneShot+Res,Grok-3,3229,321.9,1
OneShot+Res,o4-mini,3160,515.1,1
OneShot+Res,Average,3198.9,390.0,1.0

PerGentNoRes,Claude-4,3792.9,1656,5.7
PerGentNoRes,Gemini-2,5911.8,1004.3,5.4
PerGentNoRes,Gemini-3,8629.2,1739.1,5
PerGentNoRes,GPT-4o,5694.6,976.1,3.5
PerGentNoRes,GPT-5.2,13318.1,2205.6,4.5
PerGentNoRes,Grok-3,8919.6,1656.3,6.1
PerGentNoRes,o4-mini,11227.1,2018.9,5.5
PerGentNoRes,Average,8213.3,1608.0,5.1

PerGentsc,Claude-4,6650.5,645.9,4.3
PerGentsc,Gemini-2,9105.2,1249.5,4.9
PerGentsc,Gemini-3,13064.2,1804.7,4.2
PerGentsc,GPT-4o,8581.7,993.7,3.7
PerGentsc,GPT-5.2,14601.5,2494.9,4.4
PerGentsc,Grok-3,11091.4,2161.7,5.8
PerGentsc,o4-mini,13506.5,2205.6,6.2
PerGentsc,Average,10943.0,1650.9,4.8

